Algorithm,communication_overhead,latency,model_fidelity,power_consumption,reward
FedSemGNN,0.01434326171875,2.069000038318336,100.0,72.10269034181783,0.0
FlatFedPPO,0.0,229.16666666666663,16.666666666666664,2432.839225,-0.6556946039199829
HSQF,0.003662109375,277.77777777777777,66.66666666666666,853.3261416666667,-2.1074960231781006
HierFedPPO,1.3264846801757812,291.6666666666667,50.0,1067.59285,2.0116281509399414
RandomPlacement,3.814697265625e-05,270.8333333333333,100.0,2475.9919083333334,-1.3973649740219116
