% TODO: \usepackage{graphicx} required
\begin{figure}
\centering
\includegraphics[width=0.7\linewidth]{orch_latency_hist}
\caption{}
\label{fig:orchlatencyhist}
\end{figure}
Step,StartTime,EndTime,Duration_ms
0,1752063654.5307512,1752063654.532327,1.5757083892822266
1,1752063654.5323715,1752063654.533934,1.5625953674316406
2,1752063654.5339484,1752063654.535499,1.5506744384765625
3,1752063654.535511,1752063654.53705,1.538991928100586
4,1752063654.5370705,1752063654.5386083,1.5377998352050781
5,1752063654.5386274,1752063654.5402656,1.638174057006836
6,1752063654.540287,1752063654.5418117,1.5246868133544922
7,1752063654.5418336,1752063654.543421,1.5873908996582031
8,1752063654.5434606,1752063654.545022,1.5614032745361328
9,1752063654.54505,1752063654.5466037,1.5537738800048828
10,1752063654.5466166,1752063654.54817,1.5535354614257812
11,1752063654.5481822,1752063654.5497227,1.5404224395751953
12,1752063654.5497427,1752063654.5512805,1.5377998352050781
13,1752063654.5513024,1752063654.5528462,1.5437602996826172
14,1752063654.5528648,1752063654.554421,1.5561580657958984
15,1752063654.5544326,1752063654.5560138,1.5811920166015625
16,1752063654.556036,1752063654.5576012,1.5652179718017578
17,1752063654.55763,1752063654.5591874,1.5573501586914062
18,1752063654.5592074,1752063654.5607698,1.562356948852539
19,1752063654.5607867,1752063654.562328,1.5413761138916016
20,1752063654.5623572,1752063654.5638955,1.5382766723632812
21,1752063654.5639205,1752063654.5654662,1.5456676483154297
22,1752063654.5654852,1752063654.56704,1.554727554321289
23,1752063654.567052,1752063654.5685902,1.5382766723632812
24,1752063654.568616,1752063654.5702093,1.5933513641357422
25,1752063654.5702388,1752063654.5718338,1.5950202941894531
26,1752063654.5718503,1752063654.5734086,1.5583038330078125
27,1752063654.5734212,1752063654.5749614,1.5401840209960938
28,1752063654.5749857,1752063654.5765228,1.5370845794677734
29,1752063654.5765462,1752063654.5780895,1.543283462524414
30,1752063654.5781083,1752063654.5796635,1.5552043914794922
31,1752063654.5796747,1752063654.5812159,1.5411376953125
32,1752063654.581245,1752063654.5827594,1.514434814453125
33,1752063654.5827787,1752063654.5843384,1.5597343444824219
34,1752063654.5843527,1752063654.5859296,1.5769004821777344
35,1752063654.5859416,1752063654.587601,1.659393310546875
36,1752063654.5876236,1752063654.5891879,1.5642642974853516
37,1752063654.5892067,1752063654.590758,1.5513896942138672
38,1752063654.5907793,1752063654.5923357,1.556396484375
39,1752063654.59235,1752063654.593888,1.5380382537841797
40,1752063654.5939128,1752063654.5954502,1.537322998046875
41,1752063654.595503,1752063654.5970545,1.5513896942138672
42,1752063654.597075,1752063654.5986438,1.5687942504882812
43,1752063654.598664,1752063654.6002398,1.5757083892822266
44,1752063654.6002524,1752063654.601792,1.5397071838378906
45,1752063654.6018152,1752063654.60343,1.6148090362548828
46,1752063654.6034431,1752063654.6049874,1.5442371368408203
47,1752063654.6050267,1752063654.6065712,1.5444755554199219
48,1752063654.606595,1752063654.6081326,1.5375614166259766
49,1752063654.6081588,1752063654.6096766,1.5177726745605469
50,1752063654.6096957,1752063654.6112592,1.5635490417480469
51,1752063654.6112745,1752063654.6128163,1.5418529510498047
52,1752063654.612839,1752063654.6143775,1.5385150909423828
53,1752063654.614403,1752063654.6159759,1.5728473663330078
54,1752063654.6159875,1752063654.6175404,1.5528202056884766
55,1752063654.6175513,1752063654.6191692,1.6179084777832031
56,1752063654.619191,1752063654.620741,1.5499591827392578
57,1752063654.6207685,1752063654.622283,1.514434814453125
58,1752063654.622296,1752063654.6238163,1.5201568603515625
59,1752063654.6238384,1752063654.6253843,1.5459060668945312
60,1752063654.6254063,1752063654.6269455,1.5392303466796875
61,1752063654.6269708,1752063654.628516,1.5451908111572266
62,1752063654.6285362,1752063654.6300898,1.5535354614257812
63,1752063654.630107,1752063654.6316829,1.5759468078613281
64,1752063654.6316946,1752063654.6332376,1.5430450439453125
65,1752063654.6332645,1752063654.634902,1.6374588012695312
66,1752063654.6349218,1752063654.6364741,1.5523433685302734
67,1752063654.6364956,1752063654.638044,1.5485286712646484
68,1752063654.6380663,1752063654.6396046,1.5382766723632812
69,1752063654.6396286,1752063654.641173,1.5442371368408203
70,1752063654.641192,1752063654.642749,1.5571117401123047
71,1752063654.6427603,1752063654.6442988,1.5385150909423828
72,1752063654.644323,1752063654.64589,1.5668869018554688
73,1752063654.6459007,1752063654.6474478,1.547098159790039
74,1752063654.647471,1752063654.6489844,1.5134811401367188
75,1752063654.6489985,1752063654.6506126,1.6140937805175781
76,1752063654.6506362,1752063654.652189,1.5528202056884766
77,1752063654.6522105,1752063654.6537573,1.5468597412109375
78,1752063654.6537783,1752063654.6553345,1.5561580657958984
79,1752063654.6553483,1752063654.6568863,1.5380382537841797
80,1752063654.6569145,1752063654.6584535,1.538991928100586
81,1752063654.6584792,1752063654.6600227,1.5435218811035156
82,1752063654.660043,1752063654.6616135,1.5704631805419922
83,1752063654.661625,1752063654.6631873,1.562356948852539
84,1752063654.6632478,1752063654.6647942,1.5463829040527344
85,1752063654.6648192,1752063654.6664453,1.6260147094726562
86,1752063654.6664724,1752063654.6680331,1.5606880187988281
87,1752063654.6680498,1752063654.6695886,1.5387535095214844
88,1752063654.6696115,1752063654.6711483,1.5368461608886719
89,1752063654.6711748,1752063654.672718,1.543283462524414
90,1752063654.6727364,1752063654.6742914,1.5549659729003906
91,1752063654.6743073,1752063654.6758773,1.569986343383789
92,1752063654.6759574,1752063654.677518,1.5604496002197266
93,1752063654.6775365,1752063654.6790855,1.5490055084228516
94,1752063654.6791039,1752063654.6806576,1.5537738800048828
95,1752063654.6806686,1752063654.6822877,1.619100570678711
96,1752063654.6823003,1752063654.6838412,1.5408992767333984
97,1752063654.6838691,1752063654.6854296,1.5604496002197266
98,1752063654.6854408,1752063654.686996,1.5552043914794922
99,1752063654.6870136,1752063654.6885517,1.5380382537841797
100,1752063654.68858,1752063654.6901097,1.529693603515625
101,1752063654.6901295,1752063654.6916866,1.5571117401123047
102,1752063654.6917002,1752063654.6932573,1.5571117401123047
103,1752063654.6932685,1752063654.6948068,1.5382766723632812
104,1752063654.6948328,1752063654.6963696,1.5368461608886719
105,1752063654.696398,1752063654.6981044,1.7063617706298828
106,1752063654.6981251,1752063654.6996968,1.5716552734375
107,1752063654.6997175,1752063654.701264,1.5463829040527344
108,1752063654.701293,1752063654.7028124,1.5194416046142578
109,1752063654.702836,1752063654.7043962,1.560211181640625
110,1752063654.7044141,1752063654.7059977,1.5835762023925781
111,1752063654.7060108,1752063654.7075553,1.5444755554199219
112,1752063654.7075748,1752063654.7091131,1.5382766723632812
113,1752063654.709139,1752063654.7106838,1.5447139739990234
114,1752063654.7107012,1752063654.712258,1.5568733215332031
115,1752063654.712269,1752063654.7138662,1.5971660614013672
116,1752063654.7138877,1752063654.7154372,1.5494823455810547
117,1752063654.715483,1752063654.7170422,1.5592575073242188
118,1752063654.7170622,1752063654.7186196,1.5573501586914062
119,1752063654.7186317,1752063654.720198,1.566171646118164
120,1752063654.7202108,1752063654.7217503,1.539468765258789
121,1752063654.7217755,1752063654.7233198,1.5442371368408203
122,1752063654.723345,1752063654.7248993,1.554250717163086
123,1752063654.72491,1752063654.7264485,1.5385150909423828
124,1752063654.7264783,1752063654.7280157,1.537322998046875
125,1752063654.7280326,1752063654.7295685,1.5358924865722656
126,1752063654.7295904,1752063654.7311656,1.5752315521240234
127,1752063654.7311907,1752063654.732746,1.5552043914794922
128,1752063654.7327647,1752063654.7343102,1.5454292297363281
129,1752063654.7343369,1752063654.7359245,1.5876293182373047
130,1752063654.7359378,1752063654.7375016,1.5637874603271484
131,1752063654.7375193,1752063654.7390594,1.5401840209960938
132,1752063654.7390857,1752063654.7406235,1.5377998352050781
133,1752063654.7406468,1752063654.742206,1.5592575073242188
134,1752063654.7422178,1752063654.7437427,1.5249252319335938
135,1752063654.743795,1752063654.7453892,1.5943050384521484
136,1752063654.745505,1752063654.7470534,1.5482902526855469
137,1752063654.747074,1752063654.7486186,1.5447139739990234
138,1752063654.7486398,1752063654.7502115,1.5716552734375
139,1752063654.7502232,1752063654.7517633,1.5401840209960938
140,1752063654.751787,1752063654.7533262,1.5392303466796875
141,1752063654.7533486,1752063654.7548938,1.5451908111572266
142,1752063654.7549121,1752063654.7565427,1.630544662475586
143,1752063654.756565,1752063654.758129,1.5637874603271484
