Step,Power,Reward,Latency_ms,Migrations,Fidelity,BytesExchanged
1,795.7881333333333,9204.211866666667,0.0,6,1.0,5888
2,992.8289666666667,9007.171033333334,0.0,12,0.6666666666666666,11776
3,1190.8369666666667,8807.288033333334,187.5,18,0.6666666666666666,17664
4,1376.4694666666667,8621.655533333333,187.5,24,0.6666666666666666,23552
5,1534.4494666666667,8463.675533333333,187.5,28,0.8333333333333334,29440
6,1691.4623000000004,8306.662699999999,187.5,32,0.5,35328
7,1851.3766333333335,8146.748366666667,187.5,36,0.6666666666666666,41216
8,2009.3566333333335,7989.115588888889,152.77777777777777,40,0.6666666666666666,47104
9,2150.1253,7846.6247,325.0,43,0.8333333333333334,52992
10,2179.514466666667,7817.7771999999995,270.8333333333333,44,0.8333333333333334,58880
11,2187.2518,7809.970422222223,277.77777777777777,44,0.3333333333333333,64768
12,2190.1533000000004,7806.582811111111,326.38888888888886,44,0.8333333333333334,70656
13,2186.2846333333337,7810.729255555555,298.61111111111114,44,0.8333333333333334,76544
14,2190.1533000000004,7806.860588888889,298.6111111111111,44,0.8333333333333334,82432
15,2190.1533000000004,7806.582811111111,326.38888888888886,44,1.0,88320
16,2185.317466666667,7811.696422222221,298.61111111111114,44,0.5,94208
17,2187.2518,7809.831533333334,291.6666666666667,44,0.8333333333333334,100096
18,2193.0548000000003,7803.8202,312.49999999999994,44,0.8333333333333334,105984
19,2195.9563,7800.710366666666,333.3333333333333,44,0.8333333333333334,111872
20,2195.9563000000003,7800.710366666666,333.3333333333333,44,0.8333333333333334,117760
21,2194.9891333333335,7801.6775333333335,333.3333333333333,44,0.8333333333333334,123648
22,2189.1861333333336,7807.549977777778,326.38888888888886,44,0.6666666666666666,129536
23,2196.6538750000004,7800.429458333333,291.6666666666667,44,0.6666666666666666,135424
24,2214.832375,7781.834291666666,333.3333333333333,46,1.0,141312
25,2213.865208333333,7782.801458333333,333.3333333333333,46,0.5,147200
26,2212.898041666667,7783.838069444444,326.38888888888886,46,0.6666666666666666,153088
27,2213.865208333333,7782.870902777779,326.38888888888886,46,0.3333333333333333,158976
28,2213.865208333333,7782.801458333333,333.3333333333333,46,1.0,164864
29,2213.865208333333,7782.870902777779,326.38888888888886,46,1.0,170752
30,2203.226375,7793.440291666666,333.3333333333333,46,0.5,176640
31,2203.226375,7794.273625,250.0,46,0.8333333333333334,182528
32,2212.898041666667,7783.768625,333.3333333333333,46,0.8333333333333334,188416
33,2209.0293750000005,7787.776180555555,319.4444444444444,46,1.0,194304
34,2209.029375,7787.915069444444,305.55555555555554,46,0.8333333333333334,200192
35,2204.193541666667,7792.612013888889,319.4444444444444,46,0.8333333333333334,206080
36,2206.127875,7791.163791666666,270.8333333333333,46,0.8333333333333334,211968
37,2221.33295,7775.333716666666,333.3333333333333,46,0.8333333333333334,217856
38,2241.248116666667,7755.418549999999,333.3333333333333,50,1.0,223744
39,2237.37945,7759.634438888888,298.61111111111114,50,1.0,229632
40,2235.445116666667,7761.499327777778,305.55555555555554,50,0.6666666666666666,235520
41,2235.445116666667,7761.707661111111,284.72222222222223,50,1.0,241408
42,2239.3137833333335,7757.63066111111,305.55555555555554,50,0.8333333333333334,247296
43,2243.1824500000002,7753.69255,312.5,50,0.6666666666666666,253184
44,2244.149616666667,7752.5170499999995,333.3333333333333,50,1.0,259072
45,2233.5107833333336,7763.294772222222,319.4444444444444,50,0.6666666666666666,264960
46,2232.543616666667,7764.886938888889,256.9444444444444,50,0.5,270848
47,2240.2809500000003,7756.59405,312.5,50,1.0,276736
48,2243.1824500000002,7753.69255,312.5,50,0.8333333333333334,282624
49,2245.1167833333334,7751.549883333333,333.3333333333333,50,1.0,288512
50,2245.1167833333334,7751.619327777778,326.38888888888886,50,1.0,294400
51,2276.652491666667,7720.014174999999,333.3333333333333,50,1.0,300288
52,2326.154491666667,7670.6510638888885,319.4444444444444,52,0.6666666666666666,306176
53,2289.7829500000003,7706.883716666666,333.3333333333333,52,1.0,312064
54,2288.8157833333335,7708.2675500000005,291.6666666666667,52,0.8333333333333334,317952
55,2291.7172833333334,7705.018827777778,326.38888888888886,52,1.0,323840
56,2285.9142833333335,7710.9607166666665,312.5,52,1.0,329728
57,2286.88145,7710.271327777778,284.72222222222223,52,1.0,335616
58,2293.651616666667,7703.153938888889,319.4444444444444,52,0.5,341504
59,2290.750116666667,7705.91655,333.3333333333333,52,1.0,347392
60,2290.750116666667,7706.263772222222,298.6111111111111,52,1.0,353280
61,2291.7172833333334,7704.949383333333,333.3333333333333,52,1.0,359168
62,2291.7172833333334,7705.227161111111,305.55555555555554,52,0.5,365056
63,2294.618783333334,7702.047883333333,333.3333333333333,52,0.6666666666666666,370944
